TAIR Accession	Locus	Gene Model	Gene Type	Description	Other Name(Type)	Keywords	Is full length cDNA
Gene:2183072	AT5G33200	AT5G33200.1	transposable_element_gene	transposable_element_gene;(source:Araport11);similar to unknown protein [Arabidopsis thaliana] (TAIR:AT3G42400.1);(source:TAIR10)		 	false
Gene:2827708	AT2G04625	AT2G04625.1	transposable_element_gene	transposable_element_gene;(source:Araport11);pseudogene, hypothetical protein, similar to reverse transcriptase;(source:TAIR10)		 	false
Gene:504952856	AT5G35045	AT5G35045.1	transposable_element_gene	transposable_element_gene;(source:Araport11);Mutator-like transposase family, has a 2.5e-66 P-value blast match to O22273 /233-373 Pfam PF03108 MuDR family transposase (MuDr-element domain);(source:TAIR10)		 	false
Gene:1006229809	AT1G32505	AT1G32505.1	transposable_element_gene	transposable_element_gene;(source:Araport11);Mutator-like transposase family;(source:TAIR10)		 	false
Gene:1006228305	AT2G05564	AT2G05564.1	transposable_element_gene	transposable_element_gene;(source:Araport11);similar to unknown protein [Arabidopsis thaliana] (TAIR:AT2G14774.1);(source:TAIR10)		 	false
Gene:1006228400	AT2G05935	AT2G05935.1	transposable_element_gene	transposable_element_gene;(source:Araport11);non-LTR retrotransposon family (LINE), has a 3.9e-28 P-value blast match to GB:NP_038607 L1 repeat, Tf subfamily, member 9 (LINE-element) (Mus musculus);(source:TAIR10)		 	false
Gene:1006228662	AT3G29545	AT3G29545.1	transposable_element_gene	transposable_element_gene;(source:Araport11);pseudogene, hypothetical protein;(source:TAIR10)		 	false
Gene:1006228742	AT3G48526	AT3G48526.1	transposable_element_gene	transposable_element_gene;(source:Araport11);copia-like retrotransposon family, has a 5.7e-41 P-value blast match to GB:BAA78423 polyprotein (Ty1_Copia-element) (Arabidopsis thaliana)GB:BAA78423 polyprotein (Ty1_Copia-element) (Arabidopsis thaliana)GB:BAA78423 polyprotein (Ty1_Copia-element) (Arabidopsis thaliana)gi|4996361|dbj|BAA78423.1| polyprotein (Arabidopsis thaliana) (Ty1_Copia-element);(source:TAIR10)		 	false
Gene:1006229022	AT4G08945	AT4G08945.1	transposable_element_gene	transposable_element_gene;(source:Araport11);copia-like retrotransposon family, has a 5.2e-16 P-value blast match to GB:BAA78423 polyprotein (Ty1_Copia-element) (Arabidopsis thaliana)GB:BAA78423 polyprotein (Ty1_Copia-element) (Arabidopsis thaliana)GB:BAA78423 polyprotein (Ty1_Copia-element) (Arabidopsis thaliana)gi|4996361|dbj|BAA78423.1| polyprotein (Arabidopsis thaliana) (Ty1_Copia-element);(source:TAIR10)		 	false
Gene:1006229071	AT5G28067	AT5G28067.1	transposable_element_gene	transposable_element_gene;(source:Araport11);copia-like retrotransposon family, has a 6.4e-88 P-value blast match to GB:BAA78424 polyprotein (Ty1_Copia-element) (Arabidopsis thaliana)gi|4996363|dbj|BAA78424.1| polyprotein (AtRE2) (Arabidopsis thaliana) (Ty1_Copia-element);(source:TAIR10)		 	false
Gene:4010712666	AT3G44042	AT3G44042.1	transposable_element_gene	Member of Sadhu non-coding retrotransposon family.In some natural accessions the allele is  methylated and silenced.	SADHU NON-CODING RETROTRANSPOSON 3-1; SADHU3-1	 	false
Gene:3436753	AT2G27870	AT2G27870.1	transposable_element_gene	transposable_element_gene;(source:Araport11);similar to RNase H domain-containing protein [Arabidopsis thaliana] (TAIR:AT2G22350.1);(source:TAIR10)		 	false
Gene:2042588	AT2G16330	AT2G16330.1	transposable_element_gene	transposable_element_gene;(source:Araport11);similar to unknown protein [Arabidopsis thaliana] (TAIR:AT1G45080.1);(source:TAIR10)		 	false
Gene:1009021546	AT2G10850	AT2G10850.2	transposable_element_gene	transposable_element_gene;(source:Araport11);similar to unknown protein [Arabidopsis thaliana] (TAIR:AT1G43970.1);(source:TAIR10)		 	true
Gene:2044091	AT2G06330	AT2G06330.1	transposable_element_gene	transposable_element_gene;(source:Araport11);pseudogene, hypothetical protein;(source:TAIR10)		 	false
Gene:2041803	AT2G15150	AT2G15150.1	transposable_element_gene	transposable_element_gene;(source:Araport11);Mutator-like transposase family, has a 1.8e-84 P-value blast match to Q9SKL7 /23-182 Pfam PF03108 MuDR family transposase (MuDr-element domain);(source:TAIR10)		 	false
Gene:2049287	AT2G06440	AT2G06440.1	transposable_element_gene	transposable_element_gene;(source:Araport11);pseudogene, hypothetical protein;(source:TAIR10)		 	false
Gene:2052671	AT2G11800	AT2G11800.1	transposable_element_gene	transposable_element_gene;(source:Araport11);gypsy-like retrotransposon family, has a 3.1e-14 P-value blast match to GB:AAD19359 polyprotein (gypsy_Ty3-element) (Sorghum bicolor);(source:TAIR10)		 	false
Gene:2060191	AT2G07090	AT2G07090.1	transposable_element_gene	transposable_element_gene;(source:Araport11);similar to unknown protein [Arabidopsis thaliana] (TAIR:AT1G43920.1);(source:TAIR10)		 	true
Gene:2064561	AT2G42050	AT2G42050.1	transposable_element_gene	transposable_element_gene;(source:Araport11);similar to unknown protein [Arabidopsis thaliana] (TAIR:AT5G35860.1);(source:TAIR10)		 	false
Gene:2120521	AT4G08030	AT4G08030.1	transposable_element_gene	transposable_element_gene;(source:Araport11);gypsy-like retrotransposon family (Athila), has a 1.5e-66 P-value blast match to GB:CAA57397 Athila ORF 1 (Arabidopsis thaliana);(source:TAIR10)		 	false
Gene:2826587	AT1G41700	AT1G41700.1	transposable_element_gene	transposable_element_gene;(source:Araport11);gypsy-like retrotransposon family (Athila), pseudogene, has a 8.4e-127 P-value blast match to gb|AAL06421.1|AF378079_1 reverse transcriptase (Athila4) (Arabidopsis thaliana) (Gypsy_Ty3-family);(source:TAIR10)		 	false
Gene:2197567	AT1G33580	AT1G33580.1	transposable_element_gene	transposable_element_gene;(source:Araport11);CACTA-like transposase family (Tnp2/En/Spm), has a 5.5e-96 P-value blast match to gb|AAG52024.1|AC022456_5 Tam1-homologous transposon protein TNP2, putative;(source:TAIR10)		 	false
Gene:504952889	AT5G32169	AT5G32169.1	transposable_element_gene	transposable_element_gene;(source:Araport11);similar to unknown protein [Arabidopsis thaliana] (TAIR:AT5G32405.1);(source:TAIR10)		 	false
Gene:504954277	AT5G32875	AT5G32875.1	transposable_element_gene	transposable_element_gene;(source:Araport11);gypsy-like retrotransposon family (Athila), has a 1.1e-79 P-value blast match to GB:CAA57397 Athila ORF 1 (Arabidopsis thaliana);(source:TAIR10)		 	false
Gene:504953127	AT4G07475	AT4G07475.1	transposable_element_gene	transposable_element_gene;(source:Araport11);pseudogene, hypothetical protein, similar to En/Spm-like transposon protein;(source:TAIR10)		 	false
Gene:1005716031	AT5G34376	AT5G34376.1	transposable_element_gene	transposable_element_gene;(source:Araport11);gypsy-like retrotransposon family, has a 1.4e-31 P-value blast match to GB:AAD19359 polyprotein (gypsy_Ty3-element) (Sorghum bicolor);(source:TAIR10)		 	false
Gene:504953304	AT4G08115	AT4G08115.1	transposable_element_gene	transposable_element_gene;(source:Araport11);gypsy-like retrotransposon family, has a 7.2e-05 P-value blast match to GB:AAD19359 polyprotein (gypsy_Ty3-element) (Sorghum bicolor);(source:TAIR10)		 guard cell	false
Gene:1005716080	AT5G26642	AT5G26642.1	transposable_element_gene	transposable_element_gene;(source:Araport11);similar to RNase H domain-containing protein [Arabidopsis thaliana] (TAIR:AT5G36905.1);(source:TAIR10)		 	false
Gene:1006229298	AT5G53815	AT5G53815.1	transposable_element_gene	transposable_element_gene;(source:Araport11);copia-like retrotransposon family, has a 6.6e-26 P-value blast match to GB:CAA72989 open reading frame 1 (Ty1_Copia-element) (Brassica oleracea);(source:TAIR10)		 guard cell	true
Gene:3691884	AT1G36600	AT1G36600.1	transposable_element_gene	transposable_element_gene;(source:Araport11);copia-like retrotransposon family, has a 8.9e-21 P-value blast match to gb|AAG52950.1| putative envelope protein (Endovir1-1) (Arabidopsis thaliana) (Ty1_Copia-family);(source:TAIR10)		 	false
Gene:1005715395	AT1G37180	AT1G37180.1	transposable_element_gene	transposable_element_gene;(source:Araport11);gypsy-like retrotransposon family, has a 6.2e-07 P-value blast match to GB:AAD19359 polyprotein (gypsy_Ty3-element) (Sorghum bicolor);(source:TAIR10)		 	false
Gene:2033527	AT1G41910	AT1G41910.1	transposable_element_gene	transposable_element_gene;(source:Araport11);CACTA-like transposase family (Tnp1/En/Spm), has a 2.1e-130 P-value blast match to ref|NP_189784.1| TNP1-related protein (Arabidopsis thaliana) (CACTA-element);(source:TAIR10)		 	false
Gene:2038037	AT1G41690	AT1G41690.1	transposable_element_gene	transposable_element_gene;(source:Araport11);gypsy-like retrotransposon family (Athila), has a 6.5e-165 P-value blast match to GB:CAA57397 Athila ORF 1 (Arabidopsis thaliana);(source:TAIR10)		 	false
Gene:2042269	AT2G13300	AT2G13300.1	transposable_element_gene	transposable_element_gene;(source:Araport11);non-LTR retrotransposon family (LINE), has a 1.8e-11 P-value blast match to GB:AAB41224 ORF2 (LINE-element) (Rattus norvegicus);(source:TAIR10)		 	false
Gene:2049700	AT2G04010	AT2G04010.1	transposable_element_gene	transposable_element_gene;(source:Araport11);Mutator-like transposase family, has a 3.3e-76 P-value blast match to O80466 /172-336 Pfam PF03108 MuDR family transposase (MuDr-element domain);(source:TAIR10)		 	false
Gene:2049922	AT2G11310	AT2G11310.1	transposable_element_gene	transposable_element_gene;(source:Araport11);gypsy-like retrotransposon family, has a 9.3e-175 P-value blast match to GB:AAD11615 prpol (gypsy_Ty3-element) (Zea mays);(source:TAIR10)		 	false
Gene:3436503	AT2G07480	AT2G07480.1	transposable_element_gene	transposable_element_gene;(source:Araport11);Mariner-like transposase family, has a 1.4e-101 P-value blast match to GB:AAC28384 mariner transposase (Mariner_TC1-element) (Glycine max);(source:TAIR10)		 	false
Gene:2101570	AT3G42450	AT3G42450.1	transposable_element_gene	transposable_element_gene;(source:Araport11);similar to zinc knuckle (CCHC-type) family protein [Arabidopsis thaliana] (TAIR:AT1G42630.1);(source:TAIR10)		 	false
Gene:2087084	AT3G15310	AT3G15310.1	transposable_element_gene	transposable_element_gene;(source:Araport11);similar to unknown protein [Arabidopsis thaliana] (TAIR:AT5G32621.1);(source:TAIR10)		 LP.02 two leaves visible stage, LP.04 four leaves visible stage, LP.06 six leaves visible stage, LP.08 eight leaves visible stage, LP.10 ten leaves visible stage, LP.12 twelve leaves visible stage, carpel, cauline leaf, collective leaf structure, cotyledon, flower, flowering stage, guard cell, inflorescence meristem, leaf apex, leaf lamina base, mature plant embryo stage, petal, petal differentiation and expansion stage, petiole, plant embryo, plant embryo bilateral stage, plant embryo globular stage, seed, sepal, shoot system, stamen, stem, vascular leaf, vascular leaf senescent stage	true
Gene:2089700	AT3G30750	AT3G30750.1	transposable_element_gene	transposable_element_gene;(source:Araport11);similar to unknown protein [Arabidopsis thaliana] (TAIR:AT2G24910.1);(source:TAIR10)		 	false
Gene:3697960	AT3G47270	AT3G47270.1	transposable_element_gene	transposable_element_gene;(source:Araport11);similar to heat shock protein binding [Arabidopsis thaliana] (TAIR:AT3G30450.1);(source:TAIR10)		 	false
Gene:2099798	AT3G31340	AT3G31340.1	transposable_element_gene	transposable_element_gene;(source:Araport11);gypsy-like retrotransposon family (Athila), has a 7.3e-111 P-value blast match to GB:CAA57397 Athila ORF 1 (Arabidopsis thaliana);(source:TAIR10)		 	false
Gene:2143655	AT5G27590	AT5G27590.1	transposable_element_gene	transposable_element_gene;(source:Araport11);similar to unknown protein [Arabidopsis thaliana] (TAIR:AT5G03950.1);(source:TAIR10)		 	false
Gene:2137138	AT4G04410	AT4G04410.1	transposable_element_gene	transposable_element_gene;(source:Araport11);copia-like retrotransposon family, has a 1.7e-176 P-value blast match to dbj|BAA78426.1| polyprotein (AtRE2-1) (Arabidopsis thaliana) (Ty1_Copia-element);(source:TAIR10)		 flower, guard cell, hypocotyl, inflorescence meristem, petal differentiation and expansion stage	false
Gene:3433160	AT1G33300	AT1G33300.1	transposable_element_gene	transposable_element_gene;(source:Araport11);pseudogene, hypothetical protein;(source:TAIR10)		 	false
Gene:2170886	AT5G43800	AT5G43800.1	transposable_element_gene	transposable_element_gene;(source:Araport11);copia-like retrotransposon family, has a 0. P-value blast match to gb|AAG52949.1| gag/pol polyprotein (Endovir1-1) (Arabidopsis thaliana) (Ty1_Copia-family);(source:TAIR10)		 	false
Gene:2824929	AT1G43270	AT1G43270.1	transposable_element_gene	transposable_element_gene;(source:Araport11);non-LTR retrotransposon family (LINE), has a 9.0e-37 P-value blast match to GB:NP_038603 L1 repeat, Tf subfamily, member 23 (LINE-element) (Mus musculus);(source:TAIR10)		 	false
Gene:2825196	AT1G34230	AT1G34230.1	transposable_element_gene	transposable_element_gene;(source:Araport11);pseudogene, similar to OSJNBb0041J06.18, blastp match of 33%25 identity and 2.8e-10 P-value to GP|27818010|dbj|BAC55773.1||AP005176 OSJNBb0041J06.18 {Oryza sativa (japonica cultivar-group)};(source:TAIR10)		 	false
Gene:2182401	AT5G35250	AT5G35250.1	transposable_element_gene	transposable_element_gene;(source:Araport11);similar to unknown protein [Arabidopsis thaliana] (TAIR:AT4G07450.1);(source:TAIR10)		 	false
Gene:3438407	AT3G33065	AT3G33065.1	transposable_element_gene	transposable_element_gene;(source:Araport11);pseudogene, hypothetical protein;(source:TAIR10)		 	false
Gene:2830255	AT3G29647	AT3G29647.1	transposable_element_gene	transposable_element_gene;(source:Araport11);pseudogene, hypothetical protein;(source:TAIR10)		 	false
Gene:2830332	AT3G33175	AT3G33175.1	transposable_element_gene	transposable_element_gene;(source:Araport11);pseudogene, hypothetical protein;(source:TAIR10)		 	false
Gene:504953893	AT2G01031	AT2G01031.1	transposable_element_gene	transposable_element_gene;(source:Araport11);similar to unknown protein [Arabidopsis thaliana] (TAIR:AT2G09910.1);(source:TAIR10)		 	false
Gene:1005713733	AT5G29580	AT5G29580.1	transposable_element_gene	transposable_element_gene;(source:Araport11);CACTA-like transposase family (En/Spm), has a 1.4e-130 P-value blast match to GB:AAA66266 unknown protein ORF1 transposable element En-1 (CACTA-element) (Zea mays);(source:TAIR10)		 	false
Gene:2830691	AT3G44390	AT3G44390.1	transposable_element_gene	transposable_element_gene;(source:Araport11);copia-like retrotransposon family, has a 4.1e-12 P-value blast match to GB:AAC24836 pol polyprotein (Ty1_Copia-element) (Candida albicans);(source:TAIR10)		 	false
Gene:504952689	AT5G39095	AT5G39095.1	transposable_element_gene	transposable_element_gene;(source:Araport11);copia-like retrotransposon family, has a 2.1e-250 P-value blast match to GB:AAA57005 Hopscotch polyprotein (Ty1_Copia-element) (Zea mays);(source:TAIR10)		 	false
Gene:2054834	AT2G07330	AT2G07330.1	transposable_element_gene	transposable_element_gene;(source:Araport11);Mutator-like transposase family, has a 1.9e-87 P-value blast match to Q9ZQK9 /304-464 Pfam PF03108 MuDR family transposase (MuDr-element domain);(source:TAIR10)		 	false
Gene:2055115	AT2G11180	AT2G11180.1	transposable_element_gene	transposable_element_gene;(source:Araport11);copia-like retrotransposon family, has a 4.9e-49 P-value blast match to GB:CAA32025 ORF (Ty1_Copia-element) (Nicotiana tabacum)GB:CAA32025 ORF (Ty1_Copia-element) (Nicotiana tabacum);(source:TAIR10)		 	false
Gene:2059845	AT2G16690	AT2G16690.1	transposable_element_gene	transposable_element_gene;(source:Araport11);similar to unknown protein [Arabidopsis thaliana] (TAIR:AT2G41570.1);(source:TAIR10)		 	false
Gene:2123562	AT4G28970	AT4G28970.1	transposable_element_gene	transposable_element_gene;(source:Araport11);Mutator-like transposase family, has a 8.1e-76 P-value blast match to Q9SI25 /181-349 Pfam PF03108 MuDR family transposase (MuDr-element domain);(source:TAIR10)		 	true
Gene:2098402	AT3G28800	AT3G28800.1	transposable_element_gene	transposable_element_gene;(source:Araport11);Mutator-like transposase family, has a 2.5e-23 P-value blast match to O65231 /281-442 Pfam PF03108 MuDR family transposase (MuDr-element domain);(source:TAIR10)		 	false
Gene:2098786	AT3G30150	AT3G30150.1	transposable_element_gene	transposable_element_gene;(source:Araport11);similar to unknown protein [Arabidopsis thaliana] (TAIR:AT3G31990.1);(source:TAIR10)		 	false
Gene:2139211	AT4G10580	AT4G10580.1	transposable_element_gene	transposable_element_gene;(source:Araport11);gypsy-like retrotransposon family, has a 1.1e-306 P-value blast match to GB:AAD27547 polyprotein (Gypsy_Ty3-element) (Oryza sativa subsp. indica);(source:TAIR10)		 M germinated pollen stage, pollen	false
Gene:2140674	AT4G03670	AT4G03670.1	transposable_element_gene	transposable_element_gene;(source:Araport11);similar to unknown protein [Arabidopsis thaliana] (TAIR:AT2G10836.1);(source:TAIR10)		 	false
Gene:3435318	AT1G37057	AT1G37057.1	transposable_element_gene	transposable_element_gene;(source:Araport11);hAT-like transposase family (hobo/Ac/Tam3), has a 7.8e-25 P-value blast match to GB:AAD24567 transposase Tag2 (hAT-element) (Arabidopsis thaliana);(source:TAIR10)		 	true
Gene:504954221	AT5G34749	AT5G34749.1	transposable_element_gene	transposable_element_gene;(source:Araport11);pseudogene, hypothetical protein, similar to putative Athila retroelement ORF1 protein;(source:TAIR10)		 	false
Gene:504954256	AT5G34853	AT5G34853.1	transposable_element_gene	Encodes a member of a domesticated transposable element gene family MUSTANG. Members of this family are derived from transposable elements genes but gained function in plant fitness and flower development. Known members include: AT3G04605 (MUG1), AT2G30640 (MUG2), AT1G06740 (MUG3), AT5G16505 (MUG4), AT3G06940 (MUG5), AT5G48965 (MUG6), AT3G05850 (MUG7) and AT5G34853 (MUG8).	MUG8; MUSTANG 8	 guard cell	false
Gene:504952988	AT5G30269	AT5G30269.1	transposable_element_gene	transposable_element_gene;(source:Araport11);copia-like retrotransposon family, has a 2.3e-141 P-value blast match to gb|AAO73529.1| gag-pol polyprotein (Glycine max) (SIRE1) (Ty1_Copia-family);(source:TAIR10)		 	false
Gene:504952989	AT5G31536	AT5G31536.1	transposable_element_gene	transposable_element_gene;(source:Araport11);pseudogene, hypothetical protein;(source:TAIR10)		 	false
Gene:1005715115	AT1G41650	AT1G41650.1	transposable_element_gene	transposable_element_gene;(source:Araport11);similar to unknown protein [Arabidopsis thaliana] (TAIR:AT4G05636.1);(source:TAIR10)		 	false
Gene:504953121	AT4G07523	AT4G07523.1	transposable_element_gene	transposable_element_gene;(source:Araport11);similar to unknown protein [Arabidopsis thaliana] (TAIR:AT5G27180.1);(source:TAIR10)		 	true
Gene:504953125	AT4G07502	AT4G07502.1	transposable_element_gene	transposable_element_gene;(source:Araport11);gypsy-like retrotransposon family (Athila), has a 1.3e-43 P-value blast match to GB:CAA57397 Athila ORF 1 (Arabidopsis thaliana);(source:TAIR10)		 	false
Gene:504953146	AT4G08333	AT4G08333.1	transposable_element_gene	transposable_element_gene;(source:Araport11);Mutator-like transposase family, has a 3.9e-53 P-value blast match to Q9SHN7 /450-633 Pfam PF03108 MuDR family transposase (MuDr-element domain);(source:TAIR10)		 	false
Gene:504953153	AT4G04426	AT4G04426.1	transposable_element_gene	transposable_element_gene;(source:Araport11);copia-like retrotransposon family, has a 4.7e-149 P-value blast match to GB:CAA31653 polyprotein (Ty1_Copia-element) (Arabidopsis thaliana);(source:TAIR10)		 	false
Gene:504953158	AT4G09595	AT4G09595.1	transposable_element_gene	transposable_element_gene;(source:Araport11);copia-like retrotransposon family, has a 3.6e-299 P-value blast match to GB:CAA31653 polyprotein (Ty1_Copia-element) (Arabidopsis thaliana);(source:TAIR10)		 	false
Gene:1005714080	AT4G06497	AT4G06497.1	transposable_element_gene	transposable_element_gene;(source:Araport11);non-LTR retrotransposon family (LINE), has a 5.0e-48 P-value blast match to GB:NP_038607 L1 repeat, Tf subfamily, member 9 (LINE-element) (Mus musculus);(source:TAIR10)		 	false
Gene:1005714218	AT4G06541	AT4G06541.1	transposable_element_gene	transposable_element_gene;(source:Araport11);pseudogene, hypothetical protein;(source:TAIR10)		 	false
Gene:1006229957	AT1G37036	AT1G37036.1	transposable_element_gene	transposable_element_gene;(source:Araport11);CACTA-like transposase family (En/Spm), has a 6.6e-26 P-value blast match to GB:BAA20532 ORF of transposon Tdc1 (CACTA-element) (Daucus carota);(source:TAIR10)		 	false
Gene:1006228673	AT3G49765	AT3G49765.1	transposable_element_gene	transposable_element_gene;(source:Araport11);copia-like retrotransposon family, has a 7.7e-20 P-value blast match to GB:BAA78424 polyprotein (Ty1_Copia-element) (Arabidopsis thaliana)gi|4996363|dbj|BAA78424.1| polyprotein (AtRE2) (Arabidopsis thaliana) (Ty1_Copia-element);(source:TAIR10)		 	false
Gene:1006228764	AT4G07686	AT4G07686.1	transposable_element_gene	transposable_element_gene;(source:Araport11);pseudogene, hypothetical protein;(source:TAIR10)		 	false
Gene:1006228807	AT4G13264	AT4G13264.1	transposable_element_gene	transposable_element_gene;(source:Araport11);Mutator-like transposase family, has a 4.3e-23 P-value blast match to Q9S9L1 /206-367 Pfam PF03108 MuDR family transposase (MuDr-element domain);(source:TAIR10)		 	false
Gene:1006229212	AT5G54203	AT5G54203.1	transposable_element_gene	transposable_element_gene;(source:Araport11);copia-like retrotransposon family, has a 1.1e-192 P-value blast match to GB:AAA57005 Hopscotch polyprotein (Ty1_Copia-element) (Zea mays);(source:TAIR10)		 	false
Gene:2147569	AT5G28200	AT5G28200.1	transposable_element_gene	transposable_element_gene;(source:Araport11);pseudogene, hypothetical protein, various predicted proteins, Arabidopsis thaliana;(source:TAIR10)		 	false
Gene:2148839	AT5G28700	AT5G28700.1	transposable_element_gene	transposable_element_gene;(source:Araport11);pseudogene, similar to OSJNBa0026J14.30, various predicted proteins, Arabidopsis thaliana and others;(source:TAIR10)		 LP.04 four leaves visible stage, flower, petal differentiation and expansion stage, plant sperm cell, shoot apex, stem, vascular leaf	false
Gene:2138595	AT4G08680	AT4G08680.1	transposable_element_gene	transposable_element_gene;(source:Araport11);Mutator-like transposase family, has a 1.4e-46 P-value blast match to GB:AAA21566 mudrA of transposon=MuDR (MuDr-element) (Zea mays);(source:TAIR10)		 	false
Gene:2824675	AT1G35647	AT1G35647.1	transposable_element_gene	transposable_element_gene;(source:Araport11);gypsy-like retrotransposon family, has a 3.6e-209 P-value blast match to GB:AAD27547 polyprotein (Gypsy_Ty3-element) (Oryza sativa subsp. indica);(source:TAIR10)		 	false
Gene:2825852	AT1G43070	AT1G43070.1	transposable_element_gene	transposable_element_gene;(source:Araport11);gypsy-like retrotransposon family, has a 6.7e-18 P-value blast match to aF14G16 reverse transcriptase (from Dan Voytas http://www.public.iastate.edu/~voytas) (Gypsy_Ty3-family);(source:TAIR10)		 	false
Gene:2183511	AT5G34970	AT5G34970.1	transposable_element_gene	transposable_element_gene;(source:Araport11);similar to unknown protein [Arabidopsis thaliana] (TAIR:AT3G43390.1);(source:TAIR10)		 	false
Gene:2184510	AT5G34800	AT5G34800.1	transposable_element_gene	transposable_element_gene;(source:Araport11);pseudogene, hypothetical protein, predicted proteins - Arabidopsis thaliana;(source:TAIR10)		 guard cell, plant embryo, plant embryo bilateral stage	false
Gene:2826260	AT1G42375	AT1G42375.1	transposable_element_gene	transposable_element_gene;(source:Araport11);gypsy-like retrotransposon family (Athila), has a 3.3e-236 P-value blast match to GB:CAA57397 Athila ORF 1 (Arabidopsis thaliana);(source:TAIR10)		 	false
Gene:504952913	AT5G29015	AT5G29015.1	transposable_element_gene	transposable_element_gene;(source:Araport11);CACTA-like transposase family (En/Spm), has a 1.3e-121 P-value blast match to GB:AAD55677 putative transposase protein (CACTA-element) transposon=Shooter (Zea mays);(source:TAIR10)		 	false
Gene:1006229414	AT5G39955	AT5G39955.1	transposable_element_gene	transposable_element_gene;(source:Araport11);hAT-like transposase family (hobo/Ac/Tam3), has a 4.7e-26 P-value blast match to GB:AAD24567 transposase Tag2 (hAT-element) (Arabidopsis thaliana);(source:TAIR10)		 	false
Gene:1006229459	AT5G35146	AT5G35146.1	transposable_element_gene	transposable_element_gene;(source:Araport11);pseudogene, hypothetical protein;(source:TAIR10)		 	false
Gene:3433810	AT1G27780	AT1G27780.1	transposable_element_gene	transposable_element_gene;(source:Araport11);similar to Ulp1 protease family protein [Arabidopsis thaliana] (TAIR:AT4G05280.1);(source:TAIR10)		 	false
Gene:2038886	AT2G12720	AT2G12720.1	transposable_element_gene	transposable_element_gene;(source:Araport11);Mutator-like transposase family, has a 7.6e-66 P-value blast match to O22273 /233-373 Pfam PF03108 MuDR family transposase (MuDr-element domain);(source:TAIR10)		 	false
Gene:1005027706	AT2G11020	AT2G11020.1	transposable_element_gene	transposable_element_gene;(source:Araport11);gypsy-like retrotransposon family, has a 8.5e-181 P-value blast match to GB:BAA84458 GAG-POL precursor (gypsy_Ty3-element) (Oryza sativa)gi|5902445|dbj|BAA84458.1| GAG-POL precursor (Oryza sativa (japonica cultivar-group)) (RIRE2) (Gypsy_Ty3-family);(source:TAIR10)		 	false
Gene:2051203	AT2G05200	AT2G05200.1	transposable_element_gene	transposable_element_gene;(source:Araport11);non-LTR retrotransposon family (LINE), has a 8.3e-42 P-value blast match to GB:NP_038605 L1 repeat, Tf subfamily, member 30 (LINE-element) (Mus musculus);(source:TAIR10)		 	false
